file,stroke_count,character_count
strokes_01.txt,1,10
strokes_02.txt,2,44
strokes_03.txt,3,100
strokes_04.txt,4,206
strokes_05.txt,5,332
strokes_06.txt,6,585
strokes_07.txt,7,971
strokes_08.txt,8,1299
strokes_09.txt,9,1541
strokes_10.txt,10,1718
strokes_11.txt,11,1862
strokes_12.txt,12,1968
strokes_13.txt,13,1748
strokes_14.txt,14,1573
strokes_15.txt,15,1523
strokes_16.txt,16,1300
strokes_17.txt,17,1018
strokes_18.txt,18,775
strokes_19.txt,19,694
strokes_20.txt,20,503
strokes_21.txt,21,353
strokes_22.txt,22,279
strokes_23.txt,23,196
strokes_24.txt,24,153
strokes_25.txt,25,85
strokes_26.txt,26,49
strokes_27.txt,27,47
strokes_28.txt,28,26
strokes_29.txt,29,11
strokes_30.txt,30,10
strokes_31.txt,31,1
strokes_32.txt,32,3
strokes_33.txt,33,5
strokes_35.txt,35,1
strokes_36.txt,36,1
strokes_39.txt,39,1
strokes_48.txt,48,1
