code_point,character,assigned_radical_id,radical,all_kRSUnicode_values
U+4E00,一,1,一,1.0
U+4E01,丁,1,一,1.1
U+4E02,丂,1,一,1.1
U+4E03,七,1,一,1.1
U+4E04,丄,1,一,1.1
U+4E05,丅,1,一,1.1
U+4E06,丆,1,一,1.1
U+4E07,万,1,一,1.2
U+4E08,丈,1,一,1.2
U+4E09,三,1,一,1.2
U+4E0A,上,1,一,1.2
U+4E0B,下,1,一,1.2
U+4E0C,丌,1,一,1.2
U+4E0D,不,1,一,1.3
U+4E0E,与,1,一,1.3
U+4E0F,丏,1,一,1.3
U+4E10,丐,1,一,1.3
U+4E11,丑,1,一,1.3
U+4E12,丒,1,一,1.3
U+4E13,专,1,一,1.3 7.2
U+4E14,且,1,一,1.4
U+4E15,丕,1,一,1.4
U+4E16,世,1,一,1.4
U+4E17,丗,1,一,1.3
U+4E18,丘,1,一,1.4
U+4E19,丙,1,一,1.4
U+4E1A,业,1,一,1.4
U+4E1B,丛,1,一,1.4
U+4E1C,东,1,一,1.4
U+4E1D,丝,1,一,1.4
U+4E1E,丞,1,一,1.5
U+4E1F,丟,1,一,1.5
U+4E20,丠,1,一,1.5
U+4E21,両,1,一,1.5
U+4E22,丢,1,一,1.5 4.5
U+4E23,丣,1,一,1.6
U+4E24,两,1,一,1.6
U+4E25,严,1,一,1.6
U+4E26,並,1,一,1.7
U+4E27,丧,1,一,1.7
U+4E28,丨,2,丨,2.0
U+4E29,丩,2,丨,2.1
U+4E2A,个,2,丨,2.2
U+4E2B,丫,2,丨,2.2
U+4E2C,丬,90,爿,90.0 90'.0
U+4E2D,中,2,丨,2.3
U+4E2E,丮,2,丨,2.3
U+4E2F,丯,2,丨,2.3
U+4E30,丰,2,丨,2.3
U+4E31,丱,2,丨,2.4
U+4E32,串,2,丨,2.6
U+4E33,丳,2,丨,2.7
U+4E34,临,2,丨,2.8
U+4E35,丵,2,丨,2.9
U+4E36,丶,3,丶,3.0
U+4E37,丷,3,丶,3.1
U+4E38,丸,3,丶,3.2
U+4E39,丹,3,丶,3.3
U+4E3A,为,3,丶,3.3
U+4E3B,主,3,丶,3.4
U+4E3C,丼,3,丶,3.4
U+4E3D,丽,1,一,1.6
U+4E3E,举,3,丶,3.8
U+4E3F,丿,4,丿,4.0
U+4E40,乀,4,丿,4.0
U+4E41,乁,4,丿,4.0
U+4E42,乂,4,丿,4.1
U+4E43,乃,4,丿,4.1
U+4E44,乄,4,丿,4.1
U+4E45,久,4,丿,4.2
U+4E46,乆,4,丿,4.2
U+4E47,乇,4,丿,4.2
U+4E48,么,4,丿,4.2
U+4E49,义,3,丶,3.2
U+4E4A,乊,4,丿,4.2
U+4E4B,之,4,丿,4.3
U+4E4C,乌,4,丿,4.3
U+4E4D,乍,4,丿,4.4
U+4E4E,乎,4,丿,4.4
U+4E4F,乏,4,丿,4.4
U+4E50,乐,4,丿,4.4
U+4E51,乑,4,丿,4.5
U+4E52,乒,4,丿,4.5
U+4E53,乓,4,丿,4.5 3.5
U+4E54,乔,4,丿,4.5
U+4E55,乕,4,丿,4.6
U+4E56,乖,4,丿,4.7
U+4E57,乗,4,丿,4.8
U+4E58,乘,4,丿,4.9
U+4E59,乙,5,乙,5.0
U+4E5A,乚,5,乙,5.0
U+4E5B,乛,5,乙,5.0
U+4E5C,乜,5,乙,5.1
U+4E5D,九,5,乙,5.1
U+4E5E,乞,5,乙,5.2
U+4E5F,也,5,乙,5.2
U+4E60,习,5,乙,5.2 15.1
U+4E61,乡,52,幺,52.0 4.2
U+4E62,乢,46,山,46.1
U+4E63,乣,5,乙,5.3
U+4E64,乤,5,乙,5.3
U+4E65,乥,5,乙,5.3
U+4E66,书,5,乙,5.3 2.3
U+4E67,乧,5,乙,5.4
U+4E68,乨,5,乙,5.5
U+4E69,乩,5,乙,5.5
U+4E6A,乪,5,乙,5.5
U+4E6B,乫,5,乙,5.5
U+4E6C,乬,5,乙,5.5
U+4E6D,乭,5,乙,5.5
U+4E6E,乮,5,乙,5.5
U+4E6F,乯,5,乙,5.5
U+4E70,买,5,乙,5.5
U+4E71,乱,5,乙,5.6
U+4E72,乲,5,乙,5.6
U+4E73,乳,5,乙,5.7
U+4E74,乴,5,乙,5.7
U+4E75,乵,5,乙,5.7
U+4E76,乶,5,乙,5.7
U+4E77,乷,5,乙,5.7
U+4E78,乸,5,乙,5.7 80.3
U+4E79,乹,5,乙,5.8
U+4E7A,乺,5,乙,5.8
U+4E7B,乻,5,乙,5.8
U+4E7C,乼,5,乙,5.8
U+4E7D,乽,5,乙,5.9
U+4E7E,乾,5,乙,5.10
U+4E7F,乿,5,乙,5.10
U+4E80,亀,5,乙,5.10 213''.0
U+4E81,亁,5,乙,5.11
U+4E82,亂,5,乙,5.12
U+4E83,亃,5,乙,5.12
U+4E84,亄,5,乙,5.12
U+4E85,亅,6,亅,6.0
U+4E86,了,6,亅,6.1
U+4E87,亇,6,亅,6.2
U+4E88,予,6,亅,6.3
U+4E89,争,6,亅,6.5
U+4E8A,亊,6,亅,6.6
U+4E8B,事,6,亅,6.7
U+4E8C,二,7,二,7.0
U+4E8D,亍,7,二,7.1
U+4E8E,于,7,二,7.1
U+4E8F,亏,7,二,7.1
U+4E90,亐,1,一,1.2 7.1
U+4E91,云,7,二,7.2
U+4E92,互,7,二,7.2
U+4E93,亓,7,二,7.2
U+4E94,五,7,二,7.2
U+4E95,井,7,二,7.2
U+4E96,亖,7,二,7.2
U+4E97,亗,7,二,7.3
U+4E98,亘,7,二,7.4
U+4E99,亙,7,二,7.4
U+4E9A,亚,7,二,7.4
U+4E9B,些,7,二,7.5
U+4E9C,亜,7,二,7.5
U+4E9D,亝,7,二,7.6
U+4E9E,亞,7,二,7.6
U+4E9F,亟,7,二,7.6
U+4EA0,亠,8,亠,8.0
U+4EA1,亡,8,亠,8.1
U+4EA2,亢,8,亠,8.2
U+4EA3,亣,8,亠,8.2
U+4EA4,交,8,亠,8.4
U+4EA5,亥,8,亠,8.4
U+4EA6,亦,8,亠,8.4
U+4EA7,产,8,亠,8.4 117.1
U+4EA8,亨,8,亠,8.5
U+4EA9,亩,8,亠,8.5
U+4EAA,亪,8,亠,8.5
U+4EAB,享,8,亠,8.6
U+4EAC,京,8,亠,8.6
U+4EAD,亭,8,亠,8.7
U+4EAE,亮,8,亠,8.7
U+4EAF,亯,8,亠,8.7
U+4EB0,亰,8,亠,8.7
U+4EB1,亱,8,亠,8.7
U+4EB2,亲,8,亠,8.7 117.4
U+4EB3,亳,8,亠,8.8
U+4EB4,亴,8,亠,8.10
U+4EB5,亵,8,亠,8.10 145.6
U+4EB6,亶,8,亠,8.11
U+4EB7,亷,8,亠,8.11
U+4EB8,亸,8,亠,8.14
U+4EB9,亹,8,亠,8.19
U+4EBA,人,9,人,9.0
U+4EBB,亻,9,人,9.0
U+4EBC,亼,9,人,9.1
U+4EBD,亽,9,人,9.1
U+4EBE,亾,9,人,9.1
U+4EBF,亿,9,人,9.1
U+4EC0,什,9,人,9.2
U+4EC1,仁,9,人,9.2
U+4EC2,仂,9,人,9.2
U+4EC3,仃,9,人,9.2
U+4EC4,仄,9,人,9.2
U+4EC5,仅,9,人,9.2
U+4EC6,仆,9,人,9.2
U+4EC7,仇,9,人,9.2
U+4EC8,仈,9,人,9.2
U+4EC9,仉,9,人,9.2
U+4ECA,今,9,人,9.2
U+4ECB,介,9,人,9.2
U+4ECC,仌,9,人,9.2
U+4ECD,仍,9,人,9.2
U+4ECE,从,9,人,9.2
U+4ECF,仏,9,人,9.2
U+4ED0,仐,9,人,9.2
U+4ED1,仑,9,人,9.2
U+4ED2,仒,9,人,9.2
U+4ED3,仓,9,人,9.2
U+4ED4,仔,9,人,9.3
U+4ED5,仕,9,人,9.3
U+4ED6,他,9,人,9.3
U+4ED7,仗,9,人,9.3
U+4ED8,付,9,人,9.3
U+4ED9,仙,9,人,9.3
U+4EDA,仚,9,人,9.3
U+4EDB,仛,9,人,9.3
U+4EDC,仜,9,人,9.3
U+4EDD,仝,9,人,9.3
U+4EDE,仞,9,人,9.3
U+4EDF,仟,9,人,9.3
U+4EE0,仠,9,人,9.3
U+4EE1,仡,9,人,9.3
U+4EE2,仢,9,人,9.3
U+4EE3,代,9,人,9.3
U+4EE4,令,9,人,9.3
U+4EE5,以,9,人,9.3
U+4EE6,仦,9,人,9.3
U+4EE7,仧,9,人,9.3
U+4EE8,仨,9,人,9.3
U+4EE9,仩,9,人,9.3
U+4EEA,仪,9,人,9.3
U+4EEB,仫,9,人,9.3
U+4EEC,们,9,人,9.3
U+4EED,仭,9,人,9.3
U+4EEE,仮,9,人,9.4
U+4EEF,仯,9,人,9.4
U+4EF0,仰,9,人,9.4
U+4EF1,仱,9,人,9.4
U+4EF2,仲,9,人,9.4
U+4EF3,仳,9,人,9.4
U+4EF4,仴,9,人,9.4
