radical_id,radical,form,character_count,percentage
85,水,traditional,1080,5.1448
75,木,traditional,1018,4.8495
140,艸,traditional,987,4.7018
30,口,traditional,755,3.5966
64,手,traditional,742,3.5347
167,金,traditional,695,3.3108
9,人,traditional,649,3.0917
61,心,traditional,581,2.7677
38,女,traditional,476,2.2675
142,虫,traditional,469,2.2342
32,土,traditional,463,2.2056
86,火,traditional,452,2.1532
120,糸,traditional,423,2.0151
149,言,traditional,418,1.9912
118,竹,traditional,378,1.8007
46,山,traditional,363,1.7292
130,肉,traditional,349,1.6625
96,玉,traditional,340,1.6197
112,石,traditional,330,1.5720
196,鳥,traditional,312,1.4863
195,魚,traditional,294,1.4005
145,衣,traditional,284,1.3529
72,日,traditional,270,1.2862
157,足,traditional,248,1.1814
167',钅,Chinese simplified,245,1.1671
109,目,traditional,238,1.1338
104,疒,traditional,228,1.0861
162,辵,traditional,221,1.0528
94,犬,traditional,216,1.0290
187,馬,traditional,194,0.9242
115,禾,traditional,184,0.8765
163,邑,traditional,184,0.8765
159,車,traditional,158,0.7527
18,刀,traditional,155,0.7384
170,阜,traditional,155,0.7384
120',纟,Chinese simplified,151,0.7193
149',讠,Chinese simplified,151,0.7193
119,米,traditional,136,0.6479
184,食,traditional,132,0.6288
113,示,traditional,130,0.6193
154,貝,traditional,127,0.6050
164,酉,traditional,125,0.5955
40,宀,traditional,120,0.5716
53,广,traditional,119,0.5669
181,頁,traditional,116,0.5526
50,巾,traditional,115,0.5478
195',鱼,Chinese simplified,112,0.5335
173,雨,traditional,106,0.5050
169,門,traditional,104,0.4954
177,革,traditional,98,0.4668
19,力,traditional,93,0.4430
102,田,traditional,89,0.4240
116,穴,traditional,87,0.4144
196',鸟,Chinese simplified,87,0.4144
66,攴,traditional,85,0.4049
60,彳,traditional,82,0.3906
93,牛,traditional,81,0.3859
128,耳,traditional,79,0.3763
137,舟,traditional,79,0.3763
37,大,traditional,76,0.3620
31,囗,traditional,72,0.3430
154',贝,Chinese simplified,71,0.3382
190,髟,traditional,70,0.3335
124,羽,traditional,68,0.3239
156,走,traditional,68,0.3239
76,欠,traditional,66,0.3144
57,弓,traditional,61,0.2906
187',马,Chinese simplified,60,0.2858
78,歹,traditional,59,0.2811
122,网,traditional,58,0.2763
15,冫,traditional,55,0.2620
27,厂,traditional,53,0.2525
44,尸,traditional,53,0.2525
147,見,traditional,53,0.2525
159',车,Chinese simplified,53,0.2525
82,毛,traditional,52,0.2477
169',门,Chinese simplified,52,0.2477
123,羊,traditional,51,0.2429
181',页,Chinese simplified,51,0.2429
184',饣,Chinese simplified,51,0.2429
98,瓦,traditional,50,0.2382
106,白,traditional,50,0.2382
39,子,traditional,48,0.2287
188,骨,traditional,48,0.2287
108,皿,traditional,47,0.2239
148,角,traditional,47,0.2239
172,隹,traditional,47,0.2239
62,戈,traditional,46,0.2191
1,一,traditional,45,0.2144
117,立,traditional,44,0.2096
211,齒,traditional,44,0.2096
5,乙,traditional,43,0.2048
203,黑,traditional,40,0.1905
70,方,traditional,39,0.1858
10,儿,traditional,38,0.1810
182,風,traditional,38,0.1810
198,鹿,traditional,38,0.1810
153,豸,traditional,37,0.1763
152,豕,traditional,35,0.1667
84,气,traditional,33,0.1572
127,耒,traditional,33,0.1572
22,匚,traditional,31,0.1477
158,身,traditional,31,0.1477
74,月,traditional,30,0.1429
141,虍,traditional,30,0.1429
194,鬼,traditional,30,0.1429
20,勹,traditional,28,0.1334
29,又,traditional,28,0.1334
208,鼠,traditional,28,0.1334
24,十,traditional,27,0.1286
121,缶,traditional,27,0.1286
178,韋,traditional,27,0.1286
4,丿,traditional,26,0.1239
8,亠,traditional,26,0.1239
26,卩,traditional,25,0.1191
12,八,traditional,24,0.1143
77,止,traditional,24,0.1143
79,殳,traditional,24,0.1143
33,士,traditional,23,0.1096
41,寸,traditional,23,0.1096
144,行,traditional,23,0.1096
13,冂,traditional,22,0.1048
43,尢,traditional,22,0.1048
73,曰,traditional,22,0.1048
14,冖,traditional,21,0.1000
16,几,traditional,21,0.1000
63,戶,traditional,21,0.1000
69,斤,traditional,21,0.1000
160,辛,traditional,21,0.1000
42,小,traditional,20,0.0953
7,二,traditional,19,0.0905
186,香,traditional,19,0.0905
28,厶,traditional,18,0.0857
36,夕,traditional,18,0.0857
91,片,traditional,18,0.0857
107,皮,traditional,18,0.0857
199,麥,traditional,18,0.0857
58,彐,traditional,17,0.0810
59,彡,traditional,17,0.0810
111,矢,traditional,17,0.0810
67,文,traditional,16,0.0762
134,臼,traditional,16,0.0762
147',见,Chinese simplified,16,0.0762
151,豆,traditional,16,0.0762
180,音,traditional,16,0.0762
135,舌,traditional,15,0.0715
150,谷,traditional,15,0.0715
209,鼻,traditional,15,0.0715
211',齿,Chinese simplified,14,0.0667
2,丨,traditional,13,0.0619
25,卜,traditional,13,0.0619
49,己,traditional,13,0.0619
55,廾,traditional,13,0.0619
68,斗,traditional,13,0.0619
87,爪,traditional,13,0.0619
146,襾,traditional,13,0.0619
174,靑,traditional,13,0.0619
182',风,Chinese simplified,13,0.0619
205,黽,traditional,13,0.0619
207,鼓,traditional,13,0.0619
35,夊,traditional,12,0.0572
48,工,traditional,12,0.0572
143,血,traditional,12,0.0572
155,赤,traditional,12,0.0572
17,凵,traditional,11,0.0524
125,老,traditional,11,0.0524
212,龍,traditional,11,0.0524
54,廴,traditional,10,0.0476
97,瓜,traditional,10,0.0476
129,聿,traditional,10,0.0476
191,鬥,traditional,10,0.0476
193,鬲,traditional,10,0.0476
201,黃,traditional,10,0.0476
3,丶,traditional,9,0.0429
23,匸,traditional,9,0.0429
47,巛,traditional,9,0.0429
80,毋,traditional,9,0.0429
90,爿,traditional,9,0.0429
100,生,traditional,9,0.0429
132,自,traditional,9,0.0429
133,至,traditional,9,0.0429
197,鹵,traditional,9,0.0429
51,干,traditional,8,0.0381
56,弋,traditional,8,0.0381
101,用,traditional,8,0.0381
168,長,traditional,8,0.0381
200,麻,traditional,8,0.0381
6,亅,traditional,7,0.0333
11,入,traditional,7,0.0333
34,夂,traditional,7,0.0333
81,比,traditional,7,0.0333
99,甘,traditional,7,0.0333
103,疋,traditional,7,0.0333
105,癶,traditional,7,0.0333
110,矛,traditional,7,0.0333
114,禸,traditional,7,0.0333
131,臣,traditional,7,0.0333
176,面,traditional,7,0.0333
178',韦,Chinese simplified,7,0.0333
189,高,traditional,7,0.0333
52,幺,traditional,6,0.0286
126,而,traditional,6,0.0286
139,色,traditional,6,0.0286
165,釆,traditional,6,0.0286
179,韭,traditional,6,0.0286
210,齊,traditional,6,0.0286
214,龠,traditional,6,0.0286
21,匕,traditional,5,0.0238
65,支,traditional,5,0.0238
71,无,traditional,5,0.0238
83,氏,traditional,5,0.0238
88,父,traditional,5,0.0238
95,玄,traditional,5,0.0238
138,艮,traditional,5,0.0238
161,辰,traditional,5,0.0238
166,里,traditional,5,0.0238
206,鼎,traditional,5,0.0238
89,爻,traditional,4,0.0191
136,舛,traditional,4,0.0191
175,非,traditional,4,0.0191
199',麦,Chinese simplified,4,0.0191
202,黍,traditional,4,0.0191
204,黹,traditional,4,0.0191
205',黾,Chinese simplified,4,0.0191
45,屮,traditional,3,0.0143
171,隶,traditional,3,0.0143
183,飛,traditional,3,0.0143
185,首,traditional,3,0.0143
192,鬯,traditional,3,0.0143
212',龙,Chinese simplified,3,0.0143
213,龜,traditional,3,0.0143
92,牙,traditional,2,0.0095
210',齐,Chinese simplified,2,0.0095
168',长,Chinese simplified,1,0.0048
183',飞,Chinese simplified,1,0.0048
