Radical statistics — U+4E00–U+9FFF
Total characters: 20,992
Populated radical bins: 239
Missing classifications: 0

Sorted by character count, decreasing. Simplified radical forms are separate bins.
Source: Unicode 17.0.0 Unihan kRSUnicode and CJKRadicals.txt.
Each character uses its first listed kRSUnicode classification and is counted once.
All defined radical bins are included, including those with zero characters.

ID	Radical	Form Count	Percentage
85	水	trad	1080	5.1448%
75	木	trad	1018	4.8495%
140	艸	trad	987	4.7018%
30	口	trad	755	3.5966%
64	手	trad	742	3.5347%
167	金	trad	695	3.3108%
9	人	trad	649	3.0917%
61	心	trad	581	2.7677%
38	女	trad	476	2.2675%
142	虫	trad	469	2.2342%
32	土	trad	463	2.2056%
86	火	trad	452	2.1532%
120	糸	trad	423	2.0151%
149	言	trad	418	1.9912%
118	竹	trad	378	1.8007%
46	山	trad	363	1.7292%
130	肉	trad	349	1.6625%
96	玉	trad	340	1.6197%
112	石	trad	330	1.5720%
196	鳥	trad	312	1.4863%
195	魚	trad	294	1.4005%
145	衣	trad	284	1.3529%
72	日	trad	270	1.2862%
157	足	trad	248	1.1814%
167'	钅	simp	245	1.1671%
109	目	trad	238	1.1338%
104	疒	trad	228	1.0861%
162	辵	trad	221	1.0528%
94	犬	trad	216	1.0290%
187	馬	trad	194	0.9242%
115	禾	trad	184	0.8765%
163	邑	trad	184	0.8765%
159	車	trad	158	0.7527%
18	刀	trad	155	0.7384%
170	阜	trad	155	0.7384%
120'	纟	simp	151	0.7193%
149'	讠	simp	151	0.7193%
119	米	trad	136	0.6479%
184	食	trad	132	0.6288%
113	示	trad	130	0.6193%
154	貝	trad	127	0.6050%
164	酉	trad	125	0.5955%
40	宀	trad	120	0.5716%
53	广	trad	119	0.5669%
181	頁	trad	116	0.5526%
50	巾	trad	115	0.5478%
195'	鱼	simp	112	0.5335%
173	雨	trad	106	0.5050%
169	門	trad	104	0.4954%
177	革	trad	98	0.4668%
19	力	trad	93	0.4430%
102	田	trad	89	0.4240%
116	穴	trad	87	0.4144%
196'	鸟	simp	87	0.4144%
66	攴	trad	85	0.4049%
60	彳	trad	82	0.3906%
93	牛	trad	81	0.3859%
128	耳	trad	79	0.3763%
137	舟	trad	79	0.3763%
37	大	trad	76	0.3620%
31	囗	trad	72	0.3430%
154'	贝	simp	71	0.3382%
190	髟	trad	70	0.3335%
124	羽	trad	68	0.3239%
156	走	trad	68	0.3239%
76	欠	trad	66	0.3144%
57	弓	trad	61	0.2906%
187'	马	simp	60	0.2858%
78	歹	trad	59	0.2811%
122	网	trad	58	0.2763%
15	冫	trad	55	0.2620%
27	厂	trad	53	0.2525%
44	尸	trad	53	0.2525%
147	見	trad	53	0.2525%
159'	车	simp	53	0.2525%
82	毛	trad	52	0.2477%
169'	门	simp	52	0.2477%
123	羊	trad	51	0.2429%
181'	页	simp	51	0.2429%
184'	饣	simp	51	0.2429%
98	瓦	trad	50	0.2382%
106	白	trad	50	0.2382%
39	子	trad	48	0.2287%
188	骨	trad	48	0.2287%
108	皿	trad	47	0.2239%
148	角	trad	47	0.2239%
172	隹	trad	47	0.2239%
62	戈	trad	46	0.2191%
1	一	trad	45	0.2144%
117	立	trad	44	0.2096%
211	齒	trad	44	0.2096%
5	乙	trad	43	0.2048%
203	黑	trad	40	0.1905%
70	方	trad	39	0.1858%
10	儿	trad	38	0.1810%
182	風	trad	38	0.1810%
198	鹿	trad	38	0.1810%
153	豸	trad	37	0.1763%
152	豕	trad	35	0.1667%
84	气	trad	33	0.1572%
127	耒	trad	33	0.1572%
22	匚	trad	31	0.1477%
158	身	trad	31	0.1477%
74	月	trad	30	0.1429%
141	虍	trad	30	0.1429%
194	鬼	trad	30	0.1429%
20	勹	trad	28	0.1334%
29	又	trad	28	0.1334%
208	鼠	trad	28	0.1334%
24	十	trad	27	0.1286%
121	缶	trad	27	0.1286%
178	韋	trad	27	0.1286%
4	丿	trad	26	0.1239%
8	亠	trad	26	0.1239%
26	卩	trad	25	0.1191%
12	八	trad	24	0.1143%
77	止	trad	24	0.1143%
79	殳	trad	24	0.1143%
33	士	trad	23	0.1096%
41	寸	trad	23	0.1096%
144	行	trad	23	0.1096%
13	冂	trad	22	0.1048%
43	尢	trad	22	0.1048%
73	曰	trad	22	0.1048%
14	冖	trad	21	0.1000%
16	几	trad	21	0.1000%
63	戶	trad	21	0.1000%
69	斤	trad	21	0.1000%
160	辛	trad	21	0.1000%
42	小	trad	20	0.0953%
7	二	trad	19	0.0905%
186	香	trad	19	0.0905%
28	厶	trad	18	0.0857%
36	夕	trad	18	0.0857%
91	片	trad	18	0.0857%
107	皮	trad	18	0.0857%
199	麥	trad	18	0.0857%
58	彐	trad	17	0.0810%
59	彡	trad	17	0.0810%
111	矢	trad	17	0.0810%
67	文	trad	16	0.0762%
134	臼	trad	16	0.0762%
147'	见	simp	16	0.0762%
151	豆	trad	16	0.0762%
180	音	trad	16	0.0762%
135	舌	trad	15	0.0715%
150	谷	trad	15	0.0715%
209	鼻	trad	15	0.0715%
211'	齿	simp	14	0.0667%
2	丨	trad	13	0.0619%
25	卜	trad	13	0.0619%
49	己	trad	13	0.0619%
55	廾	trad	13	0.0619%
68	斗	trad	13	0.0619%
87	爪	trad	13	0.0619%
146	襾	trad	13	0.0619%
174	靑	trad	13	0.0619%
182'	风	simp	13	0.0619%
205	黽	trad	13	0.0619%
207	鼓	trad	13	0.0619%
35	夊	trad	12	0.0572%
48	工	trad	12	0.0572%
143	血	trad	12	0.0572%
155	赤	trad	12	0.0572%
17	凵	trad	11	0.0524%
125	老	trad	11	0.0524%
212	龍	trad	11	0.0524%
54	廴	trad	10	0.0476%
97	瓜	trad	10	0.0476%
129	聿	trad	10	0.0476%
191	鬥	trad	10	0.0476%
193	鬲	trad	10	0.0476%
201	黃	trad	10	0.0476%
3	丶	trad	9	0.0429%
23	匸	trad	9	0.0429%
47	巛	trad	9	0.0429%
80	毋	trad	9	0.0429%
90	爿	trad	9	0.0429%
100	生	trad	9	0.0429%
132	自	trad	9	0.0429%
133	至	trad	9	0.0429%
197	鹵	trad	9	0.0429%
51	干	trad	8	0.0381%
56	弋	trad	8	0.0381%
101	用	trad	8	0.0381%
168	長	trad	8	0.0381%
200	麻	trad	8	0.0381%
6	亅	trad	7	0.0333%
11	入	trad	7	0.0333%
34	夂	trad	7	0.0333%
81	比	trad	7	0.0333%
99	甘	trad	7	0.0333%
103	疋	trad	7	0.0333%
105	癶	trad	7	0.0333%
110	矛	trad	7	0.0333%
114	禸	trad	7	0.0333%
131	臣	trad	7	0.0333%
176	面	trad	7	0.0333%
178'	韦	simp	7	0.0333%
189	高	trad	7	0.0333%
52	幺	trad	6	0.0286%
126	而	trad	6	0.0286%
139	色	trad	6	0.0286%
165	釆	trad	6	0.0286%
179	韭	trad	6	0.0286%
210	齊	trad	6	0.0286%
214	龠	trad	6	0.0286%
21	匕	trad	5	0.0238%
65	支	trad	5	0.0238%
71	无	trad	5	0.0238%
83	氏	trad	5	0.0238%
88	父	trad	5	0.0238%
95	玄	trad	5	0.0238%
138	艮	trad	5	0.0238%
161	辰	trad	5	0.0238%
166	里	trad	5	0.0238%
206	鼎	trad	5	0.0238%
89	爻	trad	4	0.0191%
136	舛	trad	4	0.0191%
175	非	trad	4	0.0191%
199'	麦	simp	4	0.0191%
202	黍	trad	4	0.0191%
204	黹	trad	4	0.0191%
205'	黾	simp	4	0.0191%
45	屮	trad	3	0.0143%
171	隶	trad	3	0.0143%
183	飛	trad	3	0.0143%
185	首	trad	3	0.0143%
192	鬯	trad	3	0.0143%
212'	龙	simp	3	0.0143%
213	龜	trad	3	0.0143%
92	牙	trad	2	0.0095%
210'	齐	simp	2	0.0095%
168'	长	simp	1	0.0048%
183'	飞	simp	1	0.0048%
197'	卤	simp	1	0.0048%
208''	鼡	other	1	0.0048%
211''	歯	other	1	0.0048%
213'	龟	simp	1	0.0048%
